Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink
,,,60 Lateral Raises,,,2 Coffee
,,,60 Single Arm Row,,,55 Almonds
,,,60 Kettle Swings,,,Chicken gravy
,137.4,,60 Bicep Curls,06:00:00,Brush,2 Coffee
,,,60 Shoulder Press,22:45:00,Bath,2 Electrolyte Drink
,,,60 Single Arm Row,,,40 Almonds
,139.2,,60 Bicep Curls,06:00:00,Brush,2 Black Coffee
,,,60 Shoulder Press,23:45:00,Bath,3 Electrolyte Drink
,,,80 Lateral Raises,,,Cod Liver Oil
,,,14700 steps,,,
,136.6,,60 Bicep Curls,08:00:00,Brush,Black Coffee
,,,60 Shoulder Press,22:00:00,Bath,Electrolyte Drink
,,,15900 steps,,,Mas+ drink
,136.4,,60 Bicep Curls,,Bruth,Black Coffee
,,,60 Shoulder Press,,,Electrolyte Drink
,,,10000 steps,,,Mas+ drink
,,,,,,Pumpkin seeds
,132.0,8L water,100 Bicep Curls,,Brush,
,,Black Coffee,100 Shoulder Press,,Bath,
,,Green Tea,60 Single Arm Row,,Vaccum room,
,,2 Electrolyte Drink,60 Lateral Raises,,Vaccum stairs,
,,Cod Liver Oil,60 Kettle Twists,,Vaccum washroom,
,,40 Pumpkin seeds,60 Kettle Swings,,,
,,100 Cashew Nuts,11700 steps,,,
,,Aloo Paratha,,,,
,135.0,4L water,60 Bicep Curls,06:00:00,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,50 Pumpkin seeds,,,,
,134.4,2 Black Coffee,60 Bicep Curls,,,
,,20 Pumpkin seeds,60 Lateral Raises,,,
,,8L water,,,,
,132.2,8L water,60 Bicep Curls,,,
,,3 Electrolyte Drink,60 Lateral Raises,,,
,,260 Pumpkin seeds,60 Kettle Twists,,,
,,40 Almonds,60 Kettle Swings,,,
,,Spinach,8300 steps,,,
,,2 Aloo Tikki,,,,
,131.4,10L water,100 Bicep Curls,,,
,,Black Coffee,100 Shoulder Press,,,
,,Whey Protein,60 Lateral Raises,,,
,,Cod Liver Oil,60 Kettle Twists,,,
,,390 Pumpkin seeds,60 Kettle Swings,,,
,,20 Almonds,10000 steps,,,
,,Coke Zero Vanilla,,,,
