Date,Weight,Nutrition,Exercise,source_file,source_sheet
2025-07-19,131,6L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health
2025-07-17,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics
2025-07-18,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics
2025-07-19,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics
2025-07-08,133.4,Cod Liver Oil,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health
2025-07-08,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies
2025-07-16,131.6,8L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health
2025-07-16,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Hobby.xlsx,Anime
2025-07-03,134.2,Black Coffee,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health
2025-07-11,133.2,8L water,80 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health
2025-07-11,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie
2025-07-11,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie
2025-07-11,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Relationship.xlsx,Relationship
2025-07-11,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure
2025-07-04,136.2,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health
2025-07-09,134,8L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health
2025-07-10,133.8,8L water,120 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health
2025-07-09,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Wealth.xlsx,Wealth
2025-07-02,134.2,4L water,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Monkey mode\Health.xlsx,Health
2025-07-02,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Monkey mode\Hobby.xlsx,TV Series
2025-07-15,133,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\PERFECT ALIEN\Health.xlsx,Health
2025-07-15,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\PERFECT ALIEN\Hobby.xlsx,Comics
2025-06-30,135.6,Black Coffee,80 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Project Freedom\Routine.xlsx,Health
2025-07-25,131,12L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\The fall\Health.xlsx,Health
2025-07-26,129.6,4L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\The fall\Health.xlsx,Health
2025-07-25,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\The fall\Wealth.xlsx,Expenditure
2025-07-05,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Happiness.xlsx,Sex
2025-07-06,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Happiness.xlsx,Sex
2025-07-05,135,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Health.xlsx,Health
2025-07-06,135,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Health.xlsx,Health
2025-07-07,132.6,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Health.xlsx,Health
2025-07-05,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Video Game\Relationship.xlsx,Relationship
2025-07-24,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\yugana yogi\Hobby\Hobby.xlsx,Mobile Gaming
2025-07-01,135.2,8L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\WAR\Q3FY25\Health\Health.xlsx,Routine
2025-07-21,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\thts the thing\Hobby\Hobby.xlsx,Movie
2025-07-12,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\THE SECRET\Hobby\Hobby.xlsx,Movie
2025-07-25,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\The fall\Hobby\Hobby.xlsx,Manga
2025-07-26,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\The fall\Hobby\Hobby.xlsx,Manga
2025-07-20,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\snow white\Hobby\Hobby.xlsx,Movie
2025-07-23,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\nu\Hobby\Hobby.xlsx,Mobile Gaming
2025-07-09,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Hobby\Hobby.xlsx,Movie
2025-07-10,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Hobby\Hobby.xlsx,Movie
2025-07-10,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ENUF IS ENUF\Hobby\Hobby.xlsx,Movie
2025-07-21,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\CRY OF FALL\Hobby\Hobby.xlsx,Comic
2025-07-13,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Hobby\Entertainment.xlsx,Comic
