Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
,,,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga,45860
2025-07-23,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga,45861
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship,45860
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship,45860
2025-07-22,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure,45860
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure,
,,,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure,
2025-08-07,,Keto Crunch,100 Bicep Curls,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health,45876
,,Keto Crunch,60 Shoulder Press,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health,
,,Mas+ Drink,3530 steps,,,,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health,
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Hobby.xlsx,PC Gaming,45876
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,45876
2025-08-07,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,45876
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,
,,,,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure,
2025-10-05,129.4,Black Coffee,60 Bicep Curls,09:00:00,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,45935
,,Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,
,,Sindhi Chicken Biryani,60 Kettle Swings,,,,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health,
2025-10-01,127.2,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,45931
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health,
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime,45931
,,,,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime,
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Relationship.xlsx,Relationship,45931
2025-10-01,,,,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure,45931
,,,,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure,
2025-06-27,137,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,45835
,,,60 Shoulder Press,23:00:00,Brush,2 Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Single Arm Row,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Kettle Twists,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Kettle Swings,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,10000 steps,,,Club Tropical,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,Pollo Picado Pizza,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,Chocolate cake,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,Honey Cashews,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
2025-06-28,137,,60 Bicep Curls,06:00:00,Arranged room,Black Coffee,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,45836
,,,60 Shoulder Press,,Brush,Electrolyte Drink,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Lateral Raises,,Bath,Cod Liver Oil,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Single Arm Row,,,20 Almonds,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,60 Kettle Twists,,,50 Pumpkin seed,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,10000 steps,,,Spinach,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,Chicken Gravy,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
,,,,,,8l water,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine,
2025-10-31,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine,45961
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine,
2025-10-31,128.2,2 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,45961
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health,
